This file was created by CMPT_ME_BEME_NI_ACCR_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME, BEME, NI, and AC/B.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. NI (net stock issues), the change in the natural 
log of the split-adjusted shares outstanding from the fiscal year-end in t−2 to t−1. 
Ac/B (accruals) is the change in operating working capital per split-adjusted share from t−2 to t−1
divided by book equity per split-adjusted share in t−1.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
                             Small                                                2                                                 3                                                 4                                               Big                        
                             AllBM                                             AllBM                                             AllBM                                             AllBM                                             AllBM                       
                             AllNI                                             AllNI                                             AllNI                                             AllNI                                             AllNI                       
         LoAcB        2         3         4      HiAcB     LoAcB        2         3         4      HiAcB     LoAcB        2         3         4      HiAcB     LoAcB        2         3         4      HiAcB     LoAcB        2         3         4      HiAcB   
196708    2.2368    3.5826   -1.2028   -0.4564   -0.1428   -0.5035   -0.4885   -0.0519    2.0979   -3.9524    0.3757   -0.2897    1.6680    0.5930   -2.9135   -1.7075    0.8434    1.4700   -1.9262   -0.6123   -1.4141   -1.7449   -0.4528   -0.1752    0.1778
196709    6.8430    6.3823    5.1470   12.6462    9.6277    3.2435    6.1089    7.8090    6.6347    2.9576    3.0862    6.3635    3.5697    1.9610    5.2477    4.3192    1.9061    1.7907    3.4510    4.0431    0.7874    3.1905    4.9750    3.1531    4.9298
196710   -2.9128   -0.3465   -3.2914   -1.4796   -0.5818   -1.3987   -1.7730   -3.4031   -3.9877   -3.1818   -1.1499   -2.9592   -4.8240   -2.3937   -0.6370   -3.7601   -4.7464   -3.1580   -5.0208   -5.2342   -2.7690   -2.4318    1.5551   -5.6971   -0.0652
196711    0.8804   -0.4441    0.2537    0.8551   -0.2930    1.2708   -0.0129   -1.9146    2.2383    0.7905    0.0938    1.0683    1.2983   -0.1519    0.4096    2.3415    0.9047    2.0056    1.3950   -0.0972    0.9487    0.6359    1.3413   -0.1443   -0.4676
196712   10.5133   11.6088    8.9530    9.3129   11.0838   10.9332    5.8355    2.4190   10.0721    8.6782    8.8805    6.4973    4.4808    6.6840    6.2638    5.7068    5.2733    0.3800    3.5093    0.7927    1.2153    2.8373    4.3691    2.5606   -1.7208
196801    5.5406    2.2589    2.4164    1.2929    2.2042   -0.4231    1.3506    0.7133   -1.7583   -2.9329   -1.6460   -2.2819   -2.3930   -1.4786   -5.0029   -5.7624   -1.4002   -2.3162   -5.8824   -8.5221   -1.1054   -2.0266   -7.2809   -5.2058  -10.9870
196802   -7.7466   -7.1233   -6.1390   -4.9253   -8.9308   -7.2575   -0.2547   -5.6113   -6.9658   -6.7087   -4.7366   -2.6783   -2.8678   -4.1528   -8.8863   -4.3284   -5.1643   -3.3570   -4.8498   -7.3124   -1.4065   -2.0523   -3.8668   -4.0856   -2.1407
196803   -0.8290   -0.9022    0.1549   -0.9831   -1.1819   -0.0974   -0.1031   -0.3169   -3.1466   -1.9307   -0.7685    1.7226   -0.2102    1.3329    0.2788   -0.7319   -2.9003    0.3011   -1.8488    2.8960    2.0235    0.5712    3.3815    0.2006    1.0850
196804   17.2272   18.1950   16.6493   16.4150   19.7839   14.0476   12.6391   11.4908   16.2734   16.9119   13.9863   12.4571   11.1052   14.4008   17.9063   11.8897   11.0624   11.5493   12.2276   12.5275    7.7032    5.0109   10.7702   10.8951   12.8327
196805   12.7912    6.3823    9.2728   12.0362   11.1526   10.5824    7.1228    8.0936    7.7981    5.5214    7.0836    4.8045    6.9624    6.4306    6.6378    3.6949    3.0525    4.8965    6.4594    3.0711    2.9005    0.3569    3.2710    0.5024    0.1403
196806   -1.2621    4.2330    1.5826    4.8408   -1.3289    0.9968    1.4589    1.5363   -2.5618   -1.9903    1.2000    0.7686    1.5684   -0.9918    0.5807    1.2819    1.8858    1.3819    0.0062   -0.6806    1.2594    1.5357   -0.6948    0.4187   -1.1504
196807   -2.5224   -2.4355   -3.5525   -3.9505   -5.4098   -2.5159   -1.6791   -3.5235   -2.6095   -7.7935   -0.5536   -3.0519   -4.4222   -4.0331   -6.7378   -6.4394   -2.6935   -3.4847   -5.4302   -6.0481   -1.1460   -0.8202   -0.7608   -4.5190   -6.0146
196808    4.9899    3.9276    4.6206    4.2170    3.8836    3.8073    3.4909    2.3109    6.6012    2.5745    5.5701    2.9974    4.7148    4.0035    2.3956    2.7987    4.5688    2.0478    2.8038    1.3000    1.4998    1.2182    1.5012    2.0522    0.7829
196809    8.5947    8.8820    6.0739    7.6428    6.0514    8.1581    4.7929    6.9167    9.4957    7.5270    9.0228    6.1280    5.6622    8.3916    4.0129    8.5882    8.3085    6.9406    8.0250    7.5402    6.2568    1.8284    6.2170    3.9996    2.9389
196810    0.0427   -1.8357    1.2124   -0.7313   -0.2236    0.5191   -1.1101    1.1710   -0.0242    1.4151    2.1054    1.9899    4.5843    1.3966   -1.1839    1.4031    1.1067    0.5599   -0.5575    1.3547    1.4815    0.4151    2.9207   -0.1819   -1.7847
196811    7.9307    6.9710    7.1958    7.9275    6.0344    6.2860    9.7883    7.7120   10.2037    9.2205   11.7897    7.9988    5.1545    9.2622    8.6910    6.7931    6.0386    6.2349    8.2384    7.7683    3.1048    6.3655    2.9383    4.6506    7.6631
