This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
197204,   0.89,   0.76,   0.40,  -1.28,   0.65,   1.01
197205,  -1.65,  -1.92,  -1.88,  -0.94,   2.13,   2.99
197206,  -2.49,  -2.92,  -3.55,  -3.12,  -2.01,  -1.36
197207,  -3.47,  -2.49,  -4.28,  -2.09,   0.30,  -0.10
197208,   1.86,   1.81,  -0.10,   6.48,   4.02,   2.52
197209,  -3.76,  -2.54,  -2.88,  -3.47,  -0.03,  -0.43
197210,  -1.41,   0.01,  -2.70,   0.02,   1.06,   1.39
197211,   6.11,   6.08,   3.92,   8.14,   4.96,   3.65
197212,  -1.70,  -1.01,  -1.30,  -2.35,   1.75,   1.66
197301,  -4.51,  -5.02,  -6.47,  -4.11,  -0.86,  -4.05
197302,  -7.87,  -7.09,  -9.64,  -5.24,  -3.71,  -3.50
197303,  -1.30,  -3.27,  -3.29,  -1.55,   0.07,  -1.02
197304,  -6.02,  -5.15,  -9.48,  -3.88,  -3.65,  -5.88
197305,  -8.82,  -7.30,  -8.31,  -4.17,  -1.38,  -1.13
197306,  -2.76,  -2.77,  -5.21,  -2.88,  -0.36,  -0.89
197307,  10.07,  10.59,  15.57,   6.11,   3.21,   7.48
197308,  -4.27,  -4.17,  -4.53,  -1.46,  -3.23,  -3.70
197309,   9.83,   8.91,  10.67,   8.82,   4.26,   4.25
197310,   1.27,   0.24,  -1.85,   1.57,  -0.40,  -0.61
197311, -17.93, -17.64, -20.88, -13.46, -10.26, -13.55
197312,  -1.44,  -2.71,  -1.89,   4.35,   1.51,   0.06
197401,  14.48,  10.31,   7.93,   0.98,  -0.57,  -1.25
197402,   1.87,   1.14,  -0.60,   2.48,  -0.44,  -0.40
197403,  -0.21,   0.36,  -0.71,  -2.29,  -2.35,  -2.55
197404,  -3.64,  -5.21,  -6.26,  -3.36,  -4.61,  -4.33
197405,  -6.80,  -6.79,  -8.15,  -3.78,  -3.39,  -2.23
197406,  -0.88,  -1.29,  -3.72,  -0.98,  -1.24,  -4.36
197407,  -3.43,  -3.73,  -6.06,  -3.58,  -7.59, -10.11
197408,  -6.14,  -8.06,  -9.40,  -8.41,  -8.09, -10.25
197409,  -6.45,  -7.16, -11.60,  -7.83, -10.54, -14.51
197410,   9.03,   9.35,  10.80,  18.31,  15.58,  22.41
197411,  -3.23,  -4.31,  -6.48,  -1.49,  -4.35,  -4.14
197412,  -5.90,  -5.39,  -8.50,  -1.25,  -1.31,  -5.12
197501,  26.91,  25.87,  28.44,  13.51,  12.61,  13.72
197502,   4.45,   3.89,   4.83,   3.19,   6.54,   7.10
197503,   6.16,   6.75,   9.34,   5.14,   1.50,   4.45
197504,   3.98,   4.27,   4.49,   4.89,   3.68,   7.07
197505,   6.82,   7.59,   8.93,   5.48,   5.87,   4.59
197506,   7.01,   7.59,   6.55,   6.03,   5.18,   4.36
197507,  -2.35,  -2.21,  -3.07,  -4.72,  -7.18,  -6.40
197508,  -5.38,  -4.38,  -5.24,  -3.79,  -1.63,  -2.15
197509,  -3.39,  -3.96,  -3.47,  -3.67,  -2.80,  -4.58
197510,   2.86,   2.34,   2.17,   8.34,   7.45,   4.50
197511,   2.64,   2.95,   2.00,   4.21,   4.33,   1.44
197512,  -0.57,  -0.16,  -1.70,  -0.94,  -1.30,  -1.01
197601,  20.78,  18.49,  18.91,  14.19,  12.06,  11.32
197602,  10.47,   8.06,   7.84,   3.44,  -0.14,  -1.61
197603,   2.46,   1.64,   0.74,   3.30,   2.73,   2.83
197604,  -1.38,  -0.84,  -0.99,  -2.01,  -1.61,  -0.17
197605,  -2.74,  -1.97,  -1.68,  -1.39,  -1.73,   0.39
197606,   3.98,   3.78,   4.04,   6.08,   4.82,   4.17
197607,   0.16,   0.92,  -0.45,  -0.91,  -0.39,  -0.88
197608,  -2.36,  -1.22,  -2.60,  -1.80,   0.96,  -0.39
197609,   1.58,   3.11,   3.22,   2.38,   2.14,   2.99
197610,  -2.12,  -1.91,  -2.10,  -2.95,  -1.74,  -2.32
197611,   2.95,   3.62,   3.91,   0.72,   1.20,  -0.41
197612,  10.72,   9.64,   9.07,   7.66,   5.96,   4.84
197701,   2.93,   1.97,   1.78,  -2.97,  -3.56,  -5.61
197702,  -1.08,   0.04,  -1.18,  -2.40,  -1.56,  -1.89
197703,   0.20,   0.77,   0.36,  -0.96,  -1.49,  -0.88
197704,   2.24,   1.37,   1.36,   0.90,   0.94,  -0.52
197705,   0.12,   0.09,   0.06,  -1.41,  -0.81,  -1.52
197706,   7.03,   5.53,   7.72,   4.12,   4.23,   5.89
197707,   0.13,   0.18,   0.41,  -1.35,  -1.30,  -1.72
197708,  -1.77,  -0.55,   0.04,  -0.27,  -1.88,  -0.90
197709,   0.75,   1.60,   1.46,  -1.38,   0.48,  -0.44
197710,  -2.95,  -1.32,  -3.01,  -4.41,  -4.17,  -3.79
